"iWine","Type","Color","Category","Size","Currency","Value","Price","TotalQuantity","Quantity","Pending","Vintage","Wine","Locale","Producer","Varietal","MasterVarietal","Designation","Vineyard","Country","Region","SubRegion","Appellation"
"2173003","White - Sparkling","White","Sparkling","750ml","EUR","22","22","3","3","0","1001","Champagne Mathelin Champagne l'Orée des Chênes","France, Champagne","Champagne Mathelin","Champagne Blend","Champagne Blend","l'Orée des Chênes","Unknown","France","Champagne","Unknown","Champagne"
"4717719","Rosé","Rosé","Dry","750ml","EUR","0","0","1","1","0","2020","Conde Noble Vino Rosado","Spain","Conde Noble","Tempranillo","Tempranillo","Vino Rosado","Unknown","Spain","Spain","Unknown","Unknown"
"4717713","White","White","Dry","750ml","EUR","0","0","1","1","0","2020","Domein Kitsberg Pinot Blanc Cuvée V","Belgium, Flanders","Domein Kitsberg","Pinot Blanc","Pinot Blanc","Cuvée V","Unknown","Belgium","Flanders","Unknown","Unknown"
"4654316","White","White","Dry","750ml","EUR","21,5","21,5","1","1","0","2022","Elena Walch Chardonnay Alto Adige - Südtirol Chardonnay Cardellino","Italy, Trentino-Alto Adige, Alto Adige, Alto Adige - Südtirol","Elena Walch","Chardonnay","Chardonnay","Chardonnay Cardellino","Unknown","Italy","Trentino-Alto Adige","Alto Adige","Alto Adige - Südtirol"
"4717707","Red","Red","Dry","750ml","EUR","15,8","15,8","2","2","0","2022","Elena Walch Merlot","Italy, Trentino-Alto Adige, Alto Adige, Alto Adige - Südtirol","Elena Walch","Merlot","Merlot","Unknown","Unknown","Italy","Trentino-Alto Adige","Alto Adige","Alto Adige - Südtirol"
"4647916","White","White","Dry","750ml","EUR","14","14","2","2","0","2022","Elena Walch Müller-Thurgau","Italy, Trentino Alto-Adige / Veneto, Vigneti delle Dolomiti IGT","Elena Walch","Müller-Thurgau","Müller-Thurgau","Unknown","Unknown","Italy","Trentino Alto-Adige / Veneto","Unknown","Vigneti delle Dolomiti IGT"
"4658585","White","White","Dry","750ml","EUR","14,3","14,3","1","1","0","2022","Elena Walch Pinot Bianco","Italy, Trentino-Alto Adige, Alto Adige, Alto Adige - Südtirol","Elena Walch","Pinot Bianco","Pinot Blanc","Unknown","Unknown","Italy","Trentino-Alto Adige","Alto Adige","Alto Adige - Südtirol"
"4631819","White","White","Dry","750ml","EUR","14,9","14,9","2","2","0","2022","Elena Walch Pinot Grigio","Italy, Trentino-Alto Adige, Alto Adige, Alto Adige - Südtirol","Elena Walch","Pinot Grigio","Pinot Gris","Unknown","Unknown","Italy","Trentino-Alto Adige","Alto Adige","Alto Adige - Südtirol"
"1376503","White - Sparkling","White","Sparkling","750ml","EUR","8,45","8,45","1","1","0","1001","Gilia Chardonnay Vino Frizzante Terre di Chieti IGT","Italy, Abruzzi, Terre di Chieti IGT","Gilia","Chardonnay","Chardonnay","Vino Frizzante","Unknown","Italy","Abruzzi","Unknown","Terre di Chieti IGT"
"2979006","Red","Red","Dry","750ml","EUR","12,5","12,5","1","1","0","2017","Château Hourtin-Ducasse","France, Bordeaux, Médoc, Haut-Médoc","Château Hourtin-Ducasse","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Unknown","France","Bordeaux","Médoc","Haut-Médoc"
"783938","White - Sparkling","White","Sparkling","750ml","EUR","44,85","44,85","1","1","0","1001","Laurent-Perrier Champagne Brut","France, Champagne","Laurent-Perrier","Champagne Blend","Champagne Blend","Brut","Unknown","France","Champagne","Unknown","Champagne"
"4321593","White - Sparkling","White","Sparkling","750ml","EUR","17,9","17,9","2","2","0","1001","Lecomte Pere & Fils Champagne Extra Brut","France, Champagne","Lecomte Pere & Fils","Champagne Blend","Champagne Blend","Extra Brut","Unknown","France","Champagne","Unknown","Champagne"
"4717722","Red","Red","Dry","750ml","EUR","10","10","1","1","0","2019","La Misión Carménère Reserva","Chile, Maipo Valley","La Misión","Carménère","Carménère","Reserva","Unknown","Chile","Maipo Valley","Unknown","Unknown"
"4717724","Red","Red","Dry","750ml","EUR","9,9","9,9","1","1","0","2022","Le Morette Bardolino Classico","Italy, Veneto, Bardolino Classico","Le Morette","Corvina Blend","Corvina","Unknown","Unknown","Italy","Veneto","Unknown","Bardolino Classico"
"4382463","White","White","Dry","750ml","EUR","14,9","14,9","2","2","0","2021","Le Morette Lugana Benedictus","Italy, Lombardia / Veneto, Lugana","Le Morette","Turbiana","Verdicchio","Unknown","Benedictus","Italy","Lombardia / Veneto","Unknown","Lugana"
"4662888","White","White","Dry","750ml","EUR","11,7","11,7","2","2","0","2022","Le Morette Lugana Mandolara","Italy, Lombardia / Veneto, Lugana","Le Morette","Trebbiano di Lugana","Verdicchio","Unknown","Mandolara","Italy","Lombardia / Veneto","Unknown","Lugana"
"4332661","White - Sparkling","White","Sparkling","750ml","EUR","17,5","17,5","2","2","0","1001","Le Morette Metodo Classico Brut","Italy, Lombardia / Veneto, Lugana","Le Morette","White Blend","White Blend","Metodo Classico Brut","Unknown","Italy","Lombardia / Veneto","Unknown","Lugana"
"3469051","Red","Red","Dry","750ml","EUR","17","17","1","1","0","2018","Oak Farm Vineyards Tievoli","USA, California, Central Valley, Lodi","Oak Farm Vineyards","Red Blend","Red Blend","Tievoli","Unknown","USA","California","Central Valley","Lodi"
"3431822","Red","Red","Dry","750ml","EUR","11","11","1","1","0","2017","Raka Spliced","South Africa, Western Cape","Raka","Red Blend","Red Blend","Spliced","Unknown","South Africa","Western Cape","Unknown","Unknown"
"3058464","White - Sparkling","White","Sparkling","750ml","EUR","16,8","16,8","1","1","0","1001","René Roger Champagne Brut Cuvée Préstige","France, Champagne","René Roger","Champagne Blend","Champagne Blend","Brut Cuvée Préstige","Unknown","France","Champagne","Unknown","Champagne"
"3995919","White","White","Dry","750ml","EUR","20","20","1","1","0","2019","Rutherglen Estates Renaissance Viognier Roussanne Marsanne","Australia, Victoria, North East, Rutherglen","Rutherglen Estates","White Rhone Blend","White Rhone Blend","Renaissance Viognier Roussanne Marsanne","Unknown","Australia","Victoria","North East","Rutherglen"
"3655866","Red","Red","Dry","750ml","EUR","16","16","2","2","0","2018","St. Andrea Áldás Egri Bikavér","Hungary, Fels&#337;-Magyarország, Eger","St. Andrea","Red Blend","Red Blend","Áldás Egri Bikavér","Unknown","Hungary","Fels&#337;-Magyarország","Unknown","Eger"
"4424415","White","White","Dry","750ml","EUR","27,9","27,9","1","1","0","2021","Cantina Tramin Gewürztraminer Alto Adige - Südtirol Nussbaumer","Italy, Trentino-Alto Adige, Alto Adige, Alto Adige - Südtirol","Cantina Tramin","Gewürztraminer","Gewürztraminer","Unknown","Nussbaumer","Italy","Trentino-Alto Adige","Alto Adige","Alto Adige - Südtirol"
"4713435","White","White","Dry","750ml","EUR","11,9","11,9","2","2","0","2022","Cantina Tramin Goldmuskateller Alto Adige - Südtirol","Italy, Trentino-Alto Adige, Alto Adige, Alto Adige - Südtirol","Cantina Tramin","Goldmuskateller","Muscat","Unknown","Unknown","Italy","Trentino-Alto Adige","Alto Adige","Alto Adige - Südtirol"
"4679340","White","White","Dry","750ml","EUR","16,8","16,8","2","2","0","2022","Cantina Tramin Sauvignon Pepi","Italy, Trentino-Alto Adige, Alto Adige, Alto Adige - Südtirol","Cantina Tramin","Sauvignon","Sauvignon Blanc","Pepi","Unknown","Italy","Trentino-Alto Adige","Alto Adige","Alto Adige - Südtirol"
"1216629","White - Sparkling","White","Sparkling","750ml","EUR","22,1","22,1","2","2","0","1001","G. Tribaut Champagne Premier Cru Blanc de Noirs Reserve","France, Champagne, Champagne Premier Cru","G. Tribaut","Pinot Noir","Pinot Noir","Blanc de Noirs Reserve","Unknown","France","Champagne","Unknown","Champagne Premier Cru"
"2672949","Red","Red","Dry","750ml","EUR","0","0","1","1","0","2014","Ugo Lequio Barbaresco Gallina","Italy, Piedmont, Langhe, Barbaresco","Ugo Lequio","Nebbiolo","Nebbiolo","Unknown","Gallina","Italy","Piedmont","Langhe","Barbaresco"
